Language,URL
en,"https://sentinel-1.github.io/odoo_forum_user_profile/"
en,"https://sentinel-1.github.io/GEL_time_traveling_machine/"
ka,"https://sentinel-1.github.io/GEL_time_traveling_machine/ka/"
en,"https://sentinel-1.github.io/net_migration_map_Georgia/"
ka,"https://sentinel-1.github.io/net_migration_map_Georgia/ka/"
en,"https://sentinel-1.github.io/employment_map_Georgia/"
ka,"https://sentinel-1.github.io/employment_map_Georgia/ka/"
en,"https://sentinel-1.github.io/mobile_subscribers_Georgia/"
ka,"https://sentinel-1.github.io/mobile_subscribers_Georgia/ka/"
en,"https://sentinel-1.github.io/IBM-Applied-Data-Science-Capstone/Machine%20Learning%20Prediction%20lab/"
en,"https://sentinel-1.github.io/IBM-Applied-Data-Science-Capstone/Interactive%20Visual%20Analytics%20with%20Folium%20lab/"
en,"https://sentinel-1.github.io/IBM-Applied-Data-Science-Capstone/EDA%20with%20Visualization%20lab/"
en,"https://sentinel-1.github.io/IBM-Applied-Data-Science-Capstone/EDA%20with%20SQL%20lab/"
en,"https://sentinel-1.github.io/IBM-Applied-Data-Science-Capstone/EDA%20lab/"
en,"https://sentinel-1.github.io/IBM-Applied-Data-Science-Capstone/Data%20Collection%20with%20Web%20Scraping%20lab/"
en,"https://sentinel-1.github.io/IBM-Applied-Data-Science-Capstone/Data%20Collection%20API%20Lab/"
